timestamp,ibit_price,option_type,strike_price,expiration_date,time_to_expiration,market_price,bid,ask,volume,open_interest,implied_volatility,purchase_cost,total_return,return_percentage,delta,gamma,theta,vega,rho
2025-11-11T16:19:03.103247-05:00,58.34999847412109,call,85,2027-12-17,2.0971937029431897,12.375,12.25,12.5,13.0,1140,0.5861857788085938,14.95,-257.5,-17.224080267558527,0.5357564819006828,0.008021684712415,-0.0149329471694953,0.3357539335452523,0.3639928201981404
2025-11-10T16:19:29.871298-05:00,60.18999862670898,call,85,2027-12-17,2.099931553730322,13.375,13.25,13.5,5.0,1143,0.5881083670043946,14.95,-157.5,-10.535117056856189,0.5514403287427698,0.0077125033323608,-0.0154174440022245,0.345069463796597,0.3822933045287693
2025-11-07T16:15:10.845922-05:00,58.880001068115234,call,85,2027-12-17,2.108145106091718,12.725,12.55,12.9,2.0,1145,0.5872538833618165,14.95,-222.49999999999977,-14.882943143812694,0.5415251867299933,0.0079032354806211,-0.0150503378202586,0.3392086656182778,0.370997679700112
2025-11-06T16:19:01.608663-05:00,57.2599983215332,call,85,2027-12-17,2.11088295687885,11.8,11.7,11.9,41.0,1136,0.5830119824218749,14.95,-315.0,-21.07023411371237,0.52652778107416,0.0082070601481597,-0.0145464122735938,0.3311554542276092,0.3557867813184777
2025-11-05T16:19:54.102940-05:00,58.91999816894531,call,85,2027-12-17,2.113620807665982,12.725,12.6,12.85,21.0,1120,0.5858806060791015,14.95,-222.5,-14.88294314381271,0.541643448066169,0.0079058756090234,-0.0150145437069494,0.3398690551077936,0.3724586200593891
2025-11-04T16:19:23.401243-05:00,57.18000030517578,call,85,2027-12-17,2.116358658453114,11.775,11.65,11.9,287.0,1133,0.5827068096923829,14.95,-317.5,-21.237458193979933,0.5262239348020087,0.0082126167403907,-0.0145024621345133,0.3311381555454963,0.3559408475425909
2025-11-03T16:19:06.156987-05:00,60.52999877929688,call,85,2027-12-17,2.1190965092402463,13.325,13.2,13.45,15.0,1132,0.579105771484375,14.95,-162.5,-10.869565217391305,0.5513688346788155,0.0077532866405244,-0.0152535568575639,0.3486067562730915,0.390032751923641
2025-10-31T17:17:01.544794-04:00,62.29999923706055,call,85,2027-12-17,2.127310061601643,14.35,14.15,14.55,15.0,1131,0.5811199114990235,14.95,-59.99999999999977,-4.01337792642139,0.566477306676131,0.0074499762391517,-0.0156768459690963,0.3574600574754922,0.4087816559813669
2025-10-30T17:18:21.333887-04:00,60.400001525878906,call,85,2027-12-17,2.130047912388775,13.45,13.25,13.65,73.0,1196,0.5830119824218749,14.95,-150.0,-10.033444816053512,0.5532210448625656,0.0076933107841975,-0.0152613220098941,0.348541125403093,0.390233690172492
2025-10-29T17:18:54.783095-04:00,62.75,call,85,2027-12-17,2.132785763175907,14.675,14.55,14.8,35.0,1196,0.5828288787841795,14.95,-27.5,-1.839464882943144,0.5710404778816496,0.0073505899159727,-0.015791695129807,0.3597807729250577,0.4139406108243376
2025-10-28T17:18:53.584100-04:00,64.48999786376953,call,85,2027-12-17,2.135523613963039,15.625,15.45,15.8,35.0,1196,0.5829509478759765,14.95,67.5,4.51505016722408,0.5838855046193747,0.0071004916829127,-0.0161662843845783,0.3676288105057249,0.4314860233324782
2025-10-27T17:17:51.303849-04:00,65.27999877929688,call,85,2027-12-17,2.138261464750171,16.1,15.95,16.25,35.0,1200,0.5838054315185546,14.95,115.00000000000024,7.692307692307708,0.5900193576591063,0.006975627801089,-0.0163400417351086,0.3710842446066444,0.4395268149211682
2025-10-24T17:17:46.653938-04:00,62.83000183105469,call,85,2027-12-17,2.1464750171115674,15.025,14.9,15.15,1.0,1200,0.5893595751953126,14.95,7.5,0.5016722408026756,0.5756799522671312,0.0072208795452199,-0.015883869167098,0.3606039063407832,0.4161014064387592
2025-10-23T17:17:43.575790-04:00,62.560001373291016,call,85,2027-12-17,2.1492128678986995,15.2,15.05,15.35,1.0,1200,0.5977213079833985,14.95,25.0,1.6722408026755853,0.5776956512881541,0.0071389242524971,-0.0159718812894123,0.3589256068664302,0.4125404674127089
2025-10-22T17:15:57.986027-04:00,61.209999084472656,call,85,2027-12-17,2.1519507186858315,14.575,14.35,14.8,14.0,1187,0.5998575170898439,14.95,-37.5,-2.508361204013378,0.5691492590121009,0.0072951344359049,-0.0156958441540753,0.3528242869917556,0.3997080790227296
2025-10-21T17:19:00.582588-04:00,63.4900016784668,call,85,2027-12-17,2.154688569472964,15.675,15.55,15.8,13.0,1187,0.5962564788818359,14.95,72.5,4.849498327759197,0.5840762895205408,0.0070192261195573,-0.0161282873845953,0.3635109763591069,0.4227046541543444
2025-10-20T17:18:49.665820-04:00,62.93000030517578,call,85,2027-12-17,2.157426420260096,15.125,15.0,15.25,13.0,1179,0.5891154370117189,14.95,17.5,1.1705685618729096,0.5771784787621067,0.0071887592635296,-0.0158601062603518,0.3618310261563029,0.4190778082537097
2025-10-17T17:17:52.342647-04:00,60.470001220703125,call,85,2027-12-17,2.1656399726214923,14.025,13.9,14.15,101.0,1109,0.5933878552246095,14.95,-92.5,-6.187290969899665,0.5618091306015487,0.0074642081112978,-0.015352726043219,0.3507426723883409,0.3958278348457849
2025-10-16T17:17:26.307786-04:00,61.43000030517578,call,85,2027-12-17,2.1683778234086244,14.4,14.25,14.55,8.0,1114,0.5895426788330078,14.95,-55.0,-3.678929765886288,0.5673494200722431,0.0073739222559244,-0.015491324693734,0.3557212394882309,0.4062611697387024
2025-10-15T17:17:46.555763-04:00,63.16999816894531,call,85,2027-12-17,2.1711156741957565,15.1,15.0,15.2,2.0,1113,0.5831340515136718,14.95,15.0,1.0033444816053512,0.5773395320217327,0.0072114816381303,-0.0157481552010804,0.364332233093907,0.4249568372216594
2025-10-14T17:17:35.800226-04:00,63.90999984741211,call,85,2027-12-17,2.1738535249828885,15.65,15.55,15.75,20.0,1099,0.5868266415405273,14.95,70.0,4.682274247491638,0.584456257863977,0.0070523866065517,-0.0159679069052863,0.367463193582873,0.4320406591794196
2025-10-13T17:17:34.715468-04:00,65.80999755859375,call,85,2027-12-17,2.1765913757700206,16.475,16.35,16.6,49.0,1099,0.5808147387695313,14.95,152.50000000000023,10.200668896321083,0.5953553227511459,0.0068713815629552,-0.0162416758321547,0.3762204055164031,0.4524862093563149
2025-10-10T17:16:50.170203-04:00,66.19999694824219,call,85,2027-12-17,2.184804928131417,16.65,16.55,16.75,52.0,1079,0.5786785296630859,14.95,169.99999999999977,11.371237458193963,0.597764049523651,0.0068328188419196,-0.0162484094008525,0.3785871607137215,0.4583639239916565
2025-10-09T17:17:45.753241-04:00,68.73999786376953,call,85,2027-12-17,2.187542778918549,17.9,17.8,18.0,18.0,1063,0.573795765991211,14.95,294.9999999999998,19.73244147157189,0.6130618723408944,0.0065620613110729,-0.0166412363845581,0.3892003358862556,0.4852557240472422
2025-10-08T17:18:03.002209-04:00,70.05999755859375,call,85,2027-12-17,2.190280629705681,18.9,18.8,19.0,5.0,1058,0.5794109442138673,14.95,394.9999999999998,26.42140468227423,0.623795048393691,0.0063182020306711,-0.016979623906211,0.3935683816621452,0.4969949301570521
2025-10-07T17:17:06.042230-04:00,69.12999725341797,call,85,2027-12-17,2.193018480492813,17.925,17.85,18.0,1.0,1059,0.5681805877685546,14.95,297.5,19.899665551839465,0.6139042761942427,0.0065771177838527,-0.0165861174678325,0.3916493244493052,0.4918229894067575
2025-10-06T17:17:21.721130-04:00,71.29000091552734,call,85,2027-12-17,2.195756331279945,18.8,18.7,18.9,22.0,1040,0.5588423022460938,14.95,384.9999999999998,25.752508361204,0.624774078748619,0.0064244399951857,-0.0167885841390118,0.4006507264377925,0.5169511985271484
2025-10-03T17:16:41.167732-04:00,69.80999755859375,call,85,2027-12-17,2.2039698836413417,17.6,17.45,17.75,1.0,1039,0.5492598785400393,14.95,265.0000000000002,17.72575250836122,0.6121496427335235,0.0067295045699952,-0.0163068434265021,0.3970103878598041,0.506586580315208
2025-10-02T17:17:05.926899-04:00,68.7699966430664,call,85,2027-12-17,2.206707734428474,16.775,16.65,16.9,8.0,1039,0.5429733203125001,14.95,182.49999999999977,12.207357859531758,0.6028402219463903,0.0069518633914438,-0.0159819766343251,0.3939331631853716,0.4981123661657582
2025-10-01T17:18:05.662883-04:00,66.73999786376953,call,85,2027-12-17,2.209445585215606,15.6,15.5,15.7,8.0,1039,0.5410812493896486,14.95,65.0,4.3478260869565215,0.5878563525078828,0.0072512780808087,-0.0155427018964381,0.3861292766217093,0.4775842504341274
2025-09-30T17:17:51.172840-04:00,65.0,call,85,2027-12-17,2.212183436002738,14.7,14.6,14.8,8.0,1039,0.5415084912109377,14.95,-25.0,-1.6722408026755853,0.5754253383551555,0.0074838490175156,-0.0151881403558339,0.3787722360368817,0.4593618006987743
2025-09-29T17:16:50.704416-04:00,64.97000122070312,call,85,2027-12-17,2.21492128678987,14.6,14.5,14.7,8.0,1037,0.5390060748291017,14.95,-35.0,-2.341137123745819,0.574291493631022,0.0075215215569766,-0.0151234613487229,0.3790385755737264,0.460062753912635
2025-09-26T17:16:51.698156-04:00,61.93999862670898,call,85,2027-12-17,2.223134839151266,13.1,13.0,13.2,170.0,1037,0.5396774548339844,14.95,-185.0,-12.37458193979933,0.5518394561081548,0.0079365979289128,-0.0144571485885765,0.3653228545234212,0.4285601908496314
2025-09-25T17:16:51.000599-04:00,62.09999847412109,call,85,2027-12-17,2.2258726899383983,13.275,13.15,13.4,1.0,1039,0.5418746984863283,14.95,-167.5,-11.20401337792642,0.554408048707664,0.0078723668280554,-0.0145276991296313,0.3661741615859274,0.4305224879834621
2025-09-24T17:17:22.710922-04:00,64.41999816894531,call,85,2027-12-17,2.2286105407255303,14.25,14.15,14.35,204.0,1039,0.5357712438964843,14.95,-70.0,-4.682274247491638,0.569706384729618,0.0076242129523365,-0.0148995215832227,0.377789614530524,0.4573507934700966
2025-09-23T17:17:19.214403-04:00,63.40999984741211,call,85,2027-12-17,2.2313483915126624,13.7,13.55,13.85,204.0,971,0.5347031393432617,14.95,-125.0,-8.361204013377927,0.5616406374909647,0.0077826976949333,-0.0146552314264866,0.3733582770515593,0.4469752780463777
2025-09-22T17:17:09.638973-04:00,63.650001525878906,call,85,2027-12-17,2.2340862422997945,13.875,13.75,14.0,1.0,972,0.5357102093505859,14.95,-107.5,-7.190635451505016,0.5641912725658461,0.0077261075507017,-0.014717762197988,0.374616967044605,0.4499743192416608
2025-09-19T17:17:08.915648-04:00,65.37000274658203,call,85,2027-12-17,2.242299794661191,14.55,14.4,14.7,2.0,972,0.5289964093017578,14.95,-40.0,-2.6755852842809364,0.574891748656788,0.0075681238587883,-0.0149178680023167,0.383611518293998,0.4718173363739013
2025-09-18T17:18:06.022327-04:00,66.75,call,85,2027-12-17,2.245037645448323,15.225,15.15,15.3,53.0,990,0.5272264074707032,14.95,27.500000000000227,1.8394648829431588,0.5846431564162848,0.0073947790222846,-0.0151501140001642,0.3899855569074031,0.4880545042020737
2025-09-17T17:16:53.151171-04:00,65.66999816894531,call,85,2027-12-17,2.247775496235456,14.675,14.5,14.85,1.0,990,0.5275315802001954,14.95,-27.5,-1.839464882943144,0.5769114210528078,0.0075378191888238,-0.0149319916856766,0.3854616001980741,0.4765391391779573
2025-09-16T17:17:48.271607-04:00,66.37000274658203,call,85,2027-12-17,2.250513347022588,15.075,14.95,15.2,6.0,991,0.5278977874755859,14.95,12.5,0.8361204013377926,0.582509092390294,0.0074271862978745,-0.0150699753256671,0.3886864701937071,0.4847798031550621
2025-09-15T17:17:21.651084-04:00,65.5,call,85,2027-12-17,2.2532511978097194,14.575,14.45,14.7,12.0,995,0.5266160620117188,14.95,-37.5,-2.508361204013378,0.5756247101109359,0.007566097144921,-0.0148618080998058,0.3851751184932042,0.4759220642029186
2025-09-12T17:16:17.768917-04:00,66.37999725341797,call,85,2027-12-17,2.261464750171116,15.125,15.05,15.2,266.0,876,0.5277757183837892,14.95,17.5,1.1705685618729096,0.5833199510968741,0.0074065566540977,-0.0150331035195197,0.3895202476576676,0.4871018406595507
2025-09-11T17:16:26.146053-04:00,65.02999877929688,call,85,2027-12-17,2.264202600958248,14.3,14.2,14.4,137.0,800,0.5246019219970703,14.95,-65.0,-4.3478260869565215,0.5719554572343131,0.0076448139612145,-0.0146916860805519,0.3840073838545349,0.4732286576443408
2025-09-10T17:17:34.256055-04:00,64.52999877929688,call,85,2027-12-17,2.26694045174538,14.175,14.05,14.3,5.0,803,0.5277757183837892,14.95,-77.5,-5.183946488294314,0.5697869262013224,0.0076606470005289,-0.0146425556021503,0.3816614379483766,0.4675293983942545
2025-09-09T17:16:59.369707-04:00,63.220001220703125,call,85,2027-12-17,2.269678302532512,13.55,13.35,13.75,2.0,803,0.5288133056640626,14.95,-140.0,-9.364548494983277,0.5603388258757381,0.0078300655174071,-0.0143798680919707,0.3756133986659818,0.4531759677061889
2025-09-08T17:17:33.020526-04:00,63.70000076293945,call,85,2027-12-17,2.272416153319644,13.85,13.65,14.05,1.0,803,0.529850892944336,14.95,-109.99999999999976,-7.357859531772561,0.5647809062334508,0.0077374244509968,-0.0144932315090842,0.3780217906397616,0.4589118420034576
2025-09-05T17:16:53.518561-04:00,63.41999816894531,call,85,2027-12-17,2.2806297056810405,13.825,13.7,13.95,20.0,803,0.5320481365966796,14.95,-112.5,-7.5250836120401345,0.5642871760144309,0.0077271156295583,-0.0144517611919678,0.3771165262205266,0.4569726241770048
2025-09-04T17:17:39.366604-04:00,62.34999847412109,call,85,2027-12-17,2.283367556468173,13.3,13.2,13.4,1.0,803,0.5322922747802734,14.95,-165.0,-11.036789297658862,0.5562711536423602,0.0078756502738865,-0.0142200459007023,0.3721219655787157,0.4454751488623459
2025-09-03T17:16:52.385107-04:00,63.77000045776367,call,85,2027-12-17,2.2861054072553046,14.0,13.9,14.1,3.0,802,0.5312546875,14.95,-95.0,-6.354515050167224,0.5670271899475248,0.0076781164795062,-0.0144928532506123,0.379215920904284,0.4620776051275092
2025-09-02T17:16:38.967169-04:00,62.970001220703125,call,85,2027-12-17,2.2888432580424367,13.675,13.55,13.8,1.0,802,0.53320779296875,14.95,-127.5,-8.528428093645484,0.5619910783799498,0.0077586480131404,-0.0143540572944692,0.3754620041857185,0.4533094688842264
2025-08-29T17:17:25.635506-04:00,61.43999862670898,call,85,2027-12-17,2.299794661190965,12.9,12.8,13.0,863.0,1509,0.531956584777832,14.95,-205.0,-13.712374581939798,0.5501929082797988,0.007985140734753,-0.0139676206043984,0.3687654459376165,0.4383692363194252
2025-08-28T17:18:12.630327-04:00,63.58000183105469,call,85,2027-12-17,2.302532511978097,14.075,13.95,14.2,1.0,1591,0.5338791729736327,14.95,-87.5,-5.852842809364549,0.5680538099421526,0.0076324281464732,-0.014453243982479,0.379273541405483,0.4626118356373346
2025-08-27T17:18:23.139645-04:00,63.650001525878906,call,85,2027-12-17,2.305270362765229,14.125,14.0,14.25,150.0,1617,0.5338791729736327,14.95,-82.5,-5.518394648829431,0.5687948378762744,0.0076170300384187,-0.0144593543042655,0.3797933454758342,0.4639153678850223
2025-08-26T17:17:42.805371-04:00,63.09999847412109,call,85,2027-12-17,2.308008213552361,14.025,13.9,14.15,102.0,1616,0.5383957293701174,14.95,-92.5,-6.187290969899665,0.5669433314165662,0.0076205796798932,-0.0144224586617324,0.3770384680973294,0.4574800911726066
2025-08-25T17:18:43.071939-04:00,62.880001068115234,call,85,2027-12-17,2.3107460643394937,14.125,14.0,14.25,8.0,1616,0.5437057348632813,14.95,-82.5,-5.518394648829431,0.5679997826107973,0.0075646142592402,-0.01446834555732,0.3757751040467589,0.4546081311901315
2025-08-22T17:18:08.547861-04:00,66.25,call,85,2027-12-17,2.31895961670089,15.95,15.65,16.25,2.0,1616,0.5434921139526369,14.95,100.0,6.688963210702341,0.5931691079924484,0.0070765300148262,-0.0151146163692857,0.3914520311613343,0.4930581932662082
2025-08-21T17:18:30.351518-04:00,63.68999862670898,call,85,2027-12-17,2.321697467488022,14.4,14.15,14.65,6.0,1616,0.5385788330078126,14.95,-55.0,-3.678929765886288,0.5725273593501968,0.0075063635756542,-0.0145060618146655,0.3807386656919249,0.4665720060070443
2025-08-20T17:18:56.429883-04:00,64.9000015258789,call,85,2027-12-17,2.324435318275154,15.1,14.9,15.3,6.0,1615,0.5397995239257813,14.95,15.000000000000227,1.0033444816053665,0.5822477390048284,0.007309898079868,-0.0147644502090581,0.3863231189004688,0.4802201467632339
2025-08-19T17:18:46.368467-04:00,64.19000244140625,call,85,2027-12-17,2.327173169062286,14.85,14.65,15.05,29.0,1636,0.5427291821289064,14.95,-9.999999999999773,-0.6688963210702189,0.5785567095023136,0.0073606248108523,-0.0146682992495313,0.3830551808992815,0.4722763348784264
2025-08-18T17:18:27.292757-04:00,66.05000305175781,call,85,2027-12-17,2.329911019849418,15.875,15.65,16.1,38.0,1625,0.5430648721313477,14.95,92.5,6.187290969899665,0.5923392827753763,0.0070903835754222,-0.0150318503391815,0.3913870585706532,0.4930925951746417
2025-08-15T17:17:42.932529-04:00,66.44000244140625,call,85,2027-12-17,2.3381245722108144,16.225,15.95,16.5,12.0,1637,0.5455367712402344,14.95,127.50000000000024,8.5284280936455,0.5966991944246858,0.0069856730122264,-0.0151243635807523,0.3933319341863603,0.4982585029333345
2025-08-14T17:19:49.509148-04:00,67.02999877929688,call,85,2027-12-17,2.3408624229979464,16.45,16.2,16.7,3.0,1829,0.5427291821289064,14.95,150.0,10.033444816053512,0.5998313848273997,0.0069419290274168,-0.0151745727845749,0.3962576468827301,0.5059750115175702
2025-08-13T17:19:38.903726-04:00,69.83999633789062,call,85,2027-12-17,2.3436002737850785,18.15,17.75,18.55,49.0,1798,0.54532315032959,14.95,319.9999999999998,21.40468227424748,0.6199467774572381,0.0065307767126025,-0.0157166049999007,0.4071090214509574,0.5360171240668378
2025-08-12T17:25:00.042100-04:00,67.94999694824219,call,85,2027-12-17,2.346338124572211,17.075,16.9,17.25,216.0,1602,0.5448653912353516,14.95,212.5,14.214046822742471,0.6073728205385817,0.0067781963228142,-0.0153641579266942,0.4001039576401869,0.5163880119488128
2025-08-10T08:16:06.804501-04:00,66.12999725341797,call,85,2027-12-17,2.351813826146475,16.125,15.95,16.3,2.0,1598,0.5456588403320313,14.95,117.5,7.859531772575251,0.5955305090250909,0.0070015374608723,-0.0150223022800354,0.3929294325457555,0.4974685042798339
2025-06-18T17:25:46.568594-04:00,58.970001220703125,call,85,2027-12-17,2.4969199178644765,14.775,14.6,14.95,47.0,1236,0.5935709588623048,14.95,-17.500000000000227,-1.170568561872925,0.5777039713685092,0.0070755479724519,-0.0139644468392333,0.3646696427084261,0.4356970484874866
2025-06-18T17:25:46.568594-04:00,58.970001220703125,call,60,2025-07-31,0.1177275838466803,3.1,3.05,3.15,189.0,11699,0.442388388671875,3.35,-25.000000000000057,-7.462686567164196,0.4983511020803922,0.0445689481292689,-0.0446650354421717,0.080719155299915,0.0307826131228182
2025-06-17T22:01:25.716163,59.5,call,85,2027-12-17,2.5013698630136987,15.35,14.95,15.45,4.0,1232,0.597385617980957,14.95,40.00000000000004,2.6755852842809387,0.5836336171964226,0.0069400662349459,-0.0141338483402385,0.3671387480527894,0.4411639163642893
2025-06-17T22:01:25.716163,59.5,call,60,2025-07-31,0.1205479452054794,3.7,3.5,3.6,476.0,11491,0.4650932397460938,3.35,35.00000000000001,10.447761194029852,0.5246041730015484,0.0414425215560649,-0.0467809546814358,0.0822583402729214,0.0331145238176813
